1,Blueming,아이유,"227,647"
2,Love poem,아이유,"245,318"
3,팔레트 (Feat. G-DRAGON),아이유,"222,296"
4,밤편지,아이유,"361,729"
5,마음을 드려요,아이유,"139,659"
6,삐삐,아이유,"246,673"
7,스물셋,아이유,"149,674"
8,너의 의미 (Feat. 김창완),아이유,"190,394"
9,금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,"221,007"
10,좋은 날,아이유,"110,603"
11,너랑 나,아이유,"120,853"
12,이름에게,아이유,"158,458"
13,하루 끝,아이유,"127,799"
14,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유","186,495"
15,마음,아이유,"166,755"
16,사랑이 잘 (With 오혁),아이유,"178,176"
17,이런 엔딩,아이유,"152,566"
18,분홍신,아이유,"97,816"
19,잠 못 드는 밤 비는 내리고,아이유,"118,346"
20,나의 옛날이야기,아이유,"156,069"
21,이 지금,아이유,"131,951"
22,무릎,아이유,"136,106"
23,시간의 바깥,아이유,"95,396"
24,나만 몰랐던 이야기,아이유,"92,684"
25,Rain Drop,아이유,"98,020"
26,가을 아침,아이유,"232,416"
27,unlucky,아이유,"75,462"
28,푸르던,아이유,"124,456"
29,비밀의 화원,아이유,"95,441"
30,레옹,"이유 갓지(GOD G) 않은 이유 (박명수, 아이유)","143,590"
31,SoulMate (Feat. 아이유),지코 (ZICO),"135,831"
32,내 손을 잡아,아이유,"46,486"
33,Zeze,아이유,"67,946"
34,잔소리 (With 2AM 슬옹),아이유,"71,293"
35,Someday,아이유,"62,487"
36,잼잼,아이유,"79,825"
37,미아,아이유,"63,492"
38,복숭아,아이유,"94,064"
39,사랑이 지나가면,아이유,"70,933"
40,그 사람,아이유,"60,353"
41,애타는 마음,"울랄라세션, 아이유","84,918"
42,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),"146,545"
43,첫 이별 그날 밤,아이유,"80,419"
44,자장가,아이유,"60,507"
45,Black Out,아이유,"49,178"
46,소격동,아이유,"73,768"
47,마쉬멜로우,아이유,"26,409"
48,있잖아 (Rock Ver.),아이유,"32,603"
49,그대네요,"성시경, 아이유","74,491"
50,얼음꽃 (Feat. 김세황),"아이유, 김연아","50,265"
51,매일 그대와,아이유,"50,751"
52,Modern Times,아이유,"41,558"
53,안경,아이유,"47,358"
54,Boo,아이유,"26,815"
55,언제쯤이면 (Duet.아이유),윤현상,"95,578"
56,마음을 드려요,아이유,"4,300"
57,어젯밤 이야기,아이유,"44,731"
58,마침표,아이유,"49,303"
59,여름밤의 꿈,아이유,"53,532"
60,우울시계 (Feat. 종현 Of SHINee),아이유,"44,522"
61,비밀,아이유,"47,151"
62,달빛바다,"아이유, 피에스타","43,858"
63,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,"118,420"
64,Red Queen (Feat. Zion.T),아이유,"45,448"
65,을의 연애 (With 박주원),아이유,"27,106"
66,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,"43,073"
67,그 애 참 싫다,아이유,"51,342"
68,느리게 하는 일,아이유,"40,334"
69,이게 아닌데,아이유,"31,794"
70,혼자 있는 방,아이유,"31,187"
71,첫사랑이죠,"아이유, 나윤권","51,218"
72,그렇게 사랑은,아이유,"35,740"
73,삐에로는 우릴 보고 웃지,아이유,"39,209"
74,Havana,아이유,"21,867"
75,Someday,아이유,"22,733"
76,새 신발,아이유,"57,404"
77,싫은 날,아이유,"39,586"
78,별을 찾는 아이 (Feat. 김광진),아이유,"34,667"
79,동화 (feat. 아이유),김동률,"60,491"
80,삼촌 (Feat. 이적),아이유,"25,783"
81,여자라서,아이유,"21,566"
82,꽃,아이유,"23,587"
83,잔혹동화,아이유,"22,308"
84,입술 사이 (50cm),아이유,"25,965"
85,(Bonus Track) Voice Mail (Korean Ver.),아이유,"48,308"
86,누구나 비밀은 있다 (Feat. 가인 Of Brown Eyed Girls),아이유,"23,707"
87,Last Fantasy,아이유,"27,609"
88,첫 겨울이니까,"성시경, 아이유","46,993"
89,고양이 (Feat. 아이유),선우정아,"51,805"
90,사랑니,아이유,"20,401"
91,기차를 타고,아이유,"30,538"
92,벽지무늬,아이유,"30,034"
93,Obliviate,아이유,"24,215"
94,Modern Times,아이유,"24,845"
95,개여울,아이유,"32,793"
96,분홍신,아이유,"26,308"
97,내 손을 잡아,아이유,"27,020"
98,꿍따리 샤바라 (Feat. 클론),아이유,"24,393"
99,사랑을 믿어요,"아이유, 유승호","15,127"
100,Feel So Good,아이유,"14,654"
